"id"	"Reporter.intensity.corrected.1.TMT1"	"Reporter.intensity.corrected.2.TMT1"	"Reporter.intensity.corrected.3.TMT1"	"Reporter.intensity.corrected.4.TMT1"	"Reporter.intensity.corrected.5.TMT1"	"Reporter.intensity.corrected.6.TMT1"	"Reporter.intensity.corrected.7.TMT1"	"Reporter.intensity.corrected.8.TMT1"	"Reporter.intensity.corrected.9.TMT1"	"Reporter.intensity.corrected.10.TMT1"	"Reporter.intensity.corrected.1.TMT2"	"Reporter.intensity.corrected.2.TMT2"	"Reporter.intensity.corrected.3.TMT2"	"Reporter.intensity.corrected.4.TMT2"	"Reporter.intensity.corrected.5.TMT2"	"Reporter.intensity.corrected.6.TMT2"	"Reporter.intensity.corrected.7.TMT2"	"Reporter.intensity.corrected.8.TMT2"	"Reporter.intensity.corrected.9.TMT2"	"Reporter.intensity.corrected.10.TMT2"	"Reporter.intensity.corrected.1.TMT3"	"Reporter.intensity.corrected.2.TMT3"	"Reporter.intensity.corrected.3.TMT3"	"Reporter.intensity.corrected.4.TMT3"	"Reporter.intensity.corrected.5.TMT3"	"Reporter.intensity.corrected.6.TMT3"	"Reporter.intensity.corrected.7.TMT3"	"Reporter.intensity.corrected.8.TMT3"	"Reporter.intensity.corrected.9.TMT3"	"Reporter.intensity.corrected.10.TMT3"	"Reporter.intensity.corrected.1.TMT4"	"Reporter.intensity.corrected.2.TMT4"	"Reporter.intensity.corrected.3.TMT4"	"Reporter.intensity.corrected.4.TMT4"	"Reporter.intensity.corrected.5.TMT4"	"Reporter.intensity.corrected.6.TMT4"	"Reporter.intensity.corrected.7.TMT4"	"Reporter.intensity.corrected.8.TMT4"	"Reporter.intensity.corrected.9.TMT4"	"Reporter.intensity.corrected.10.TMT4"
"P55011"	344790	321303.333333333	306673.333333333	294340	310263.333333333	299213.333333333	343193.333333333	295233.333333333	313830	612476.666666667	310033.333333333	217023.333333333	242036.666666667	230623.333333333	233426.666666667	239843.333333333	225186.666666667	199196.666666667	225573.333333333	475693.333333333	2021733.33333333	1722066.66666667	1601600	323190	296843.333333333	300470	752380	632770	706536.666666667	402120	286383.333333333	271680	262543.333333333	1284133.33333333	1390933.33333333	1393166.66666667	632113.333333333	445040	622783.333333333	418426.666666667
"Q86U42"	593826.666666667	561296.666666667	486236.666666667	726446.666666667	635160	679183.333333333	1158076.66666667	985713.333333333	1031216.66666667	773293.333333333	583463.333333333	450350	479013.333333333	642950	639470	576940	789133.333333333	867523.333333333	847240	654483.333333333	940686.666666667	744933.333333333	800756.666666667	322480	268843.333333333	318080	513630	484873.333333333	459186.666666667	401290	384476.666666667	369653.333333333	330983.333333333	748930	734113.333333333	775720	593430	478780	552550	404596.666666667
"P37108"	1462476.66666667	1362243.33333333	1258923.33333333	1289123.33333333	1279013.33333333	1287320	1266416.66666667	1081023.33333333	1099596.66666667	1227260	2189833.33333333	1630326.66666667	1805133.33333333	1568650	1626193.33333333	1588520	1350790	1277980	1351286.66666667	1639190	2199693.33333333	1387833.33333333	1868703.33333333	1131480	1179526.66666667	1470243.33333333	1460856.66666667	1423480	1499073.33333333	1134033.33333333	1648106.66666667	1421990	1359233.33333333	1665300	1519273.33333333	1783570	1628726.66666667	1444036.66666667	1571036.66666667	1277420
"Q96JP5"	39958.6666666667	36635.6666666667	32366.6333333333	68507	53190	55255.6666666667	47136.6666666667	41291.3333333333	43771	43010	37455.55	25287.9	34848.8	50337.95	44825	48475.15	33477.25	35886.2	33423.2	29268.35	20295	16936.5	18161	15793.5	15097.5	14722.5	18017	18162.5	18798	20117.5	15741.9	13720.1	23753	13998.65	13885.75	14331.35	14926.3	12044.5	16658.8	20513.95
"Q8N697"	22752	24569.3333333333	19537.6666666667	27246	24773	30309.3333333333	10951.6666666667	11040.1	12410.7333333333	17351	23066.5	15349	18922.5	29103.5	22745.5	24035	9262.35	8533.65	10591.75	16166	33007	26107	16002.2	25684	26132	23821	10283	10818	8234.8	16630	24113	19655	21328	20083	20516	18608	10605	8293.7	9940.7	16053
"Q9Y4H2"	290400	239336.666666667	230050	118260.666666667	122438.333333333	122870.666666667	70982.6666666667	61719.6666666667	58585	135020.333333333	214213.333333333	148418	186076.666666667	78058	77393	74285.6666666667	44348.6666666667	42271.3333333333	40794.6666666667	78697	16888	13812	12840.2666666667	138832.333333333	113706.333333333	116133.333333333	24742.3333333333	21247.6666666667	28134	44472	205462.333333333	204675.333333333	195265	17670.3333333333	14898	13685.6666666667	45129.3333333333	38622.3333333333	45991	73763.3333333333
"O75822"	872850	754963.333333333	723943.333333333	702090	694520	675893.333333333	1546866.66666667	1259800	1305966.66666667	891276.666666667	1167563.33333333	800543.333333333	959233.333333333	761333.333333333	742533.333333333	706756.666666667	1499766.66666667	1383533.33333333	1442733.33333333	894653.333333333	897810	737863.333333333	761640	654956.666666667	537836.666666667	579043.333333333	862060	721740	788346.666666667	576290	747903.333333333	717733.333333333	652526.666666667	705626.666666667	712026.666666667	748876.666666667	942343.333333333	767350	853920	606673.333333333
"Q9UH36"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P36578"	7169700	5974900	5477166.66666667	4593200	4446666.66666667	4614566.66666667	4690933.33333333	3781800	4026100	5315633.33333333	7523500	4909933.33333333	6085333.33333333	4309766.66666667	4570200	4277833.33333333	4243833.33333333	3878566.66666667	4225533.33333333	5021133.33333333	4631466.66666667	3845800	3675600	4002600	3303466.66666667	3768966.66666667	4241800	3409933.33333333	3626766.66666667	2928200	5594833.33333333	5420433.33333333	4549500	3969966.66666667	4336566.66666667	4241000	4751500	3798766.66666667	4295366.66666667	3521033.33333333
"B5MCB4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q6ZT12"	18079.3333333333	16661.3333333333	17099.6666666667	17501.6666666667	18254	16854.3333333333	32930.3333333333	33705	30704.6666666667	28750.3333333333	33547.3333333333	24465.3333333333	29579.5	27035	25466.2	26660.6333333333	47454	42992.3333333333	53002	32835.6666666667	90407	72592.6666666667	75595.6666666667	46312.4666666667	33634.4333333333	36021.3333333333	41474.3333333333	36210.3333333333	45490.3333333333	34703.6666666667	45452.3333333333	37311.6666666667	41161	56748.6666666667	68803.3333333333	65129.3333333333	47394.6666666667	39134.3333333333	46779	39119.6666666667
"Q96P70"	1627866.66666667	1715300	1411000	795296.666666667	747320	786866.666666667	1006216.66666667	921230	903233.333333333	1035826.66666667	1803366.66666667	1342063.33333333	1489263.33333333	809393.333333333	729600	758700	879506.666666667	824593.333333333	886313.333333333	926573.333333333	541763.333333333	441620	430686.666666667	982643.333333333	834970	872916.666666667	609906.666666667	540410	612043.333333333	527423.333333333	1144300	1145763.33333333	930820	395370	443886.666666667	426973.333333333	762066.666666667	546176.666666667	630546.666666667	568880
"P28482"	1065660	942633.333333333	838900	911503.333333333	871096.666666667	902510	1258780	1012506.66666667	1098266.66666667	1066553.33333333	776936.666666667	547066.666666667	644500	610133.333333333	611850	612153.333333333	713526.666666667	682713.333333333	737290	708793.333333333	743573.333333333	606043.333333333	630810	633990	488253.333333333	599566.666666667	1263360	1157410	1214493.33333333	547553.333333333	933680	916016.666666667	938270	731870	833110	754570	1922300	1397833.33333333	1582600	824603.333333333
"P09417"	925500	792823.333333333	744626.666666667	581000	558290	584893.333333333	745176.666666667	647266.666666667	666833.333333333	605746.666666667	1190366.66666667	934496.666666667	990140	758460	718520	759166.666666667	851076.666666667	790223.333333333	889416.666666667	811916.666666667	343466.666666667	287260	322020	694223.333333333	523400	618160	526286.666666667	511663.333333333	559126.666666667	395703.333333333	716786.666666667	746126.666666667	783076.666666667	197840	190373.333333333	208090	685440	568536.666666667	610093.333333333	449043.333333333
"Q9UID3"	223150	228610	193730	254450	250400	268283.333333333	254230	225320	234246.666666667	252346.666666667	204536.666666667	150488.333333333	154426.666666667	229393.333333333	217726.666666667	194576.666666667	189046.666666667	182873.333333333	200930	187386.666666667	145696.666666667	123700	135173.333333333	80456	68881.3333333333	77801.6666666667	142380	124513.333333333	137080	85221.6666666667	130328	128568	96152	165238.333333333	158781.666666667	166660.333333333	211762.333333333	167813.666666667	197766.666666667	126078
"Q9NR33"	110424.9	104241.033333333	96417.2333333333	107734.066666667	117279.9	107972.2	140423.7	131140.35	150341.9	94546.6666666667	224909	185834	198200.333333333	250539	253343.666666667	242584	156475.566666667	146132.8	176111	176269.333333333	160182	134634.5	138984	111314	99495.5	113324.5	80206.5	64295.5	80022	95736	88023.3	94298.3333333333	76491.3333333333	85513.7333333333	94174.3666666667	91944.4	58841.8	46078.0666666667	49049.3	67475.8333333333
"Q8NCE2"	41649	48913.6666666667	40213.3333333333	46160	47078.3333333333	46922.3333333333	45698.6666666667	48504	42836	45012	42073.3333333333	33447.3333333333	33817	49243.3333333333	47029.3333333333	47529	40401.0333333333	40148.3333333333	45809.3333333333	44848.3333333333	15680.3666666667	12956.8	14818.4666666667	7999.46666666667	5111.83333333333	7383.03333333333	5897.96666666667	6780.83333333333	7305.9	7086.6	12782.4	10724.5	13904.35	20688.65	22625.95	19967	12829.15	9087.1	12017.75	10979.1
"Q6SPF0"	31013	31766.5	26507	53293.5	45033.5	44599.5	60681.5	55850	56724	41903	26358.6666666667	17107.6666666667	22135	29804.6666666667	26411.6666666667	24786.6666666667	32109	33294.3333333333	34555.3333333333	24303.3333333333	84943	72864	66646.6666666667	29195.6666666667	29817	38042	27612.6666666667	27853.3333333333	28096.3333333333	32163.6666666667	61182.3333333333	59527.3333333333	48672.6666666667	101330.333333333	99756.3333333333	102989.666666667	43164	40218.6666666667	42558.6666666667	47958.3333333333
"Q86X55"	662493.333333333	563456.666666667	546846.666666667	617056.666666667	535280	591106.666666667	669603.333333333	552696.666666667	551603.333333333	644840	568810	402066.666666667	464776.666666667	431513.333333333	429773.333333333	417020	452170	447516.666666667	467073.333333333	466296.666666667	606350	530506.666666667	548706.666666667	309190	244036.666666667	294176.666666667	368636.666666667	334013.333333333	346070	269866.666666667	447973.333333333	426803.333333333	254320	719976.666666667	621086.666666667	700056.666666667	554660	439520	512676.666666667	390036.666666667
"O76031"	887386.666666667	854863.333333333	749410	551913.333333333	560596.666666667	574410	751973.333333333	614003.333333333	659130	662420	1140246.66666667	847633.333333333	908786.666666667	613543.333333333	650836.666666667	623213.333333333	764156.666666667	718143.333333333	784020	823826.666666667	951680	781636.666666667	782180	781713.333333333	680663.333333333	743623.333333333	535456.666666667	488046.666666667	524613.333333333	492633.333333333	810046.666666667	848710	807626.666666667	789163.333333333	784186.666666667	843100	612813.333333333	474863.333333333	537060	549800
"O00410"	1639566.66666667	1407633.33333333	1347033.33333333	1429633.33333333	1400666.66666667	1468800	3274933.33333333	2777433.33333333	2809600	1424400	1939000	1561100	1508233.33333333	1549466.66666667	1438566.66666667	1430266.66666667	3183066.66666667	2975033.33333333	3141633.33333333	1462966.66666667	556203.333333333	449016.666666667	473283.333333333	1249766.66666667	1046473.33333333	1133216.66666667	782413.333333333	695096.666666667	834560	1026140	1899466.66666667	2037066.66666667	1433933.33333333	580673.333333333	520700	585616.666666667	1359733.33333333	1078900	1203266.66666667	1641600
"P86790"	111441.666666667	91573	90446.3333333333	105029.333333333	102905.333333333	103660	159180	138343.333333333	139477.666666667	123133.666666667	115828.666666667	81307.3333333333	95777.3333333333	96851	106931.666666667	93754	151084	144380.333333333	153467	121572.666666667	238972	198614.666666667	190885.666666667	95681.3333333333	86421.6666666667	92776.6666666667	136996.333333333	123609.666666667	130689	104334.333333333	137707	144129.333333333	100462	253508.666666667	242946.666666667	257594.666666667	225328.666666667	190476.333333333	205149.666666667	148095
"P23610"	41166.6666666667	36655.1	33573.6666666667	41218.8	38427.3333333333	43595	27453.9	26389.6	22775	36094.6666666667	107292.666666667	79964.3333333333	80251	96734.3333333333	94352	104025.666666667	58473.1	56675.6333333333	63075.3333333333	91744.6666666667	180290	125845	144005	60767.5	59224.5	66833.5	60025.5	50378.5	69028.5	53009.5	65721.65	65329.95	48373.55	71270.7	82713.9	62960.9666666667	49837.065	26960.9666666667	44279.35	109340
"Q9Y2Z0"	1789566.66666667	1523500	1492043.33333333	1189396.66666667	1085130	1191336.66666667	906183.333333333	766080	782750	1178800	1805966.66666667	1420000	1529900	1072056.66666667	1108706.66666667	1123156.66666667	814856.666666667	816836.666666667	914583.333333333	1138516.66666667	793626.666666667	699386.666666667	659050	925663.333333333	739490	836373.333333333	661770	622886.666666667	659356.666666667	562376.666666667	1187796.66666667	1218186.66666667	1106106.66666667	793690	811680	837090	960070	738230	845006.666666667	754146.666666667
"Q8WUQ7"	39426	44208	32061	53407	46738	51997	42156	43871	49933	49507	42532.6666666667	27006.3333333333	31973.6666666667	56517.3333333333	52636	47113.6666666667	37049.3333333333	37150.6666666667	39804.3333333333	36013.3333333333	30263.9	27725.7	27993.3	50368	43476	24212.85	24914.25	22113.6	43903	25305.25	47186.0666666667	45489.8333333333	38833.1	83551.0666666667	69445.9666666667	80248.5666666667	51819.6333333333	48088.1666666667	52819.6333333333	44665.6
"Q7L5D6"	218236.666666667	182883.333333333	174096.666666667	348776.666666667	323426.666666667	348513.333333333	774363.333333333	659856.666666667	687153.333333333	473360	202213.333333333	144803.333333333	157086.666666667	270130	257323.333333333	256706.666666667	516506.666666667	485596.666666667	528270	360453.333333333	408423.333333333	318883.333333333	342093.333333333	82358.3333333333	69753.6666666667	72901	183763.333333333	173373.333333333	191423.333333333	132900	146406.666666667	141060	96657.6666666667	442943.333333333	436473.333333333	459973.333333333	290463.333333333	228503.333333333	260810	217300
"P27361"	234203.333333333	192716.666666667	197460	181892.333333333	161779	181081.333333333	570343.333333333	502970	480823.333333333	358336.666666667	320156.666666667	243053.333333333	260060	255703.333333333	248500	255003.333333333	652416.666666667	630686.666666667	644836.666666667	480746.666666667	1456566.66666667	1128386.66666667	1186233.33333333	196613.333333333	137836.666666667	192700	291320	255066.666666667	281250	291723.333333333	214243.333333333	222586.666666667	141376.666666667	1012133.33333333	908256.666666667	1018383.33333333	271823.333333333	231663.333333333	260836.666666667	328146.666666667
"A6NIH7"	58496.2	51688.15	45018.1	66833.71	59892.295	59961.03	176240	77970.65	157800	124420	142888.5	93175.15	143820	140511.5	128520.35	121412.2	148616.65	139903.7	145161.5	127241.6	49994	39359	45469	26682.3333333333	20873.8	24668.3333333333	16977.8666666667	16321.7666666667	21125.8333333333	20683.3333333333	26813.5333333333	21993.5333333333	24307.2333333333	47810.3666666667	52514.3	53254.7	27003.2666666667	29236	22979.7	28532.2666666667
"Q9Y2U8"	336910	335130	281733.333333333	333893.333333333	323163.333333333	330386.666666667	268663.333333333	259423.333333333	257250	293713.333333333	288723.333333333	204683.333333333	236806.666666667	248136.666666667	229800	241633.333333333	206353.333333333	188410	214806.666666667	206840	189003.333333333	146376.666666667	149673.333333333	103858.666666667	109449.666666667	97225	128070	112043.333333333	127866.666666667	91055.3333333333	214910	217773.333333333	185263.333333333	250666.666666667	224926.666666667	251566.666666667	195523.333333333	161275	175880	161630
"Q5VYK3"	585010	483903.333333333	456630	730886.666666667	647606.666666667	711683.333333333	602373.333333333	499033.333333333	523746.666666667	546446.666666667	755186.666666667	585403.333333333	642156.666666667	859113.333333333	832766.666666667	865033.333333333	717826.666666667	679633.333333333	783166.666666667	641406.666666667	680723.333333333	595673.333333333	585410	523976.666666667	394943.333333333	449943.333333333	511186.666666667	455526.666666667	512833.333333333	415253.333333333	559483.333333333	591543.333333333	554870	628650	563543.333333333	591736.666666667	558876.666666667	444973.333333333	524900	469826.666666667
"Q9Y2K2"	80459.6666666667	66358.6666666667	65448.6666666667	90145	80412	93166.3333333333	89086	77617	76410.6666666667	68732.6666666667	102994	70288.6666666667	77839.3333333333	95436.3333333333	97592.3333333333	94570	100958.333333333	101565.333333333	103636	85131	34302.9666666667	25518.8	29102.0666666667	66970.3333333333	55837.6666666667	63103.8333333333	47970.3666666667	39711.9	45669.5	50418.7666666667	97650.3333333333	92768.3333333333	80386.3333333333	36264.3333333333	42616	39292	64413	53110.3333333333	62102	68192.6666666667
"K7EP90"	78414.6666666667	77324.6666666667	65087.6666666667	99419.6666666667	82163.6666666667	90913	86334	81454	82587.3333333333	60600	112313.333333333	77548.6666666667	114363.333333333	154346.666666667	113140	112876.666666667	95291.3333333333	109986.666666667	109002.666666667	94616	148390	128550	148250	104149	66859	92242.6666666667	65391.6666666667	77286.3333333333	66004.3333333333	81769.6666666667	54243.3333333333	59970	50277.3333333333	77902.6666666667	57486.3333333333	63600.6666666667	54523.6666666667	41074	49439.3333333333	54337
"Q9H3U1"	657236.666666667	591926.666666667	538573.333333333	362916.666666667	357896.666666667	375063.333333333	715680	610450	609390	638106.666666667	711910	511866.666666667	553223.333333333	360023.333333333	399106.666666667	377886.666666667	648126.666666667	623830	658003.333333333	652323.333333333	1074696.66666667	851113.333333333	862600	393110	354910	409310	460220	376633.333333333	437483.333333333	382433.333333333	617796.666666667	630643.333333333	557736.666666667	1112733.33333333	1014433.33333333	1115633.33333333	642193.333333333	511300	599540	502483.333333333
"Q96E14"	43051	32878	30998	65172	67621	64355	67078	64323	76867	63048	33364.5	23957	32988	51037.5	51751.5	51563.5	52049.5	51159	46087.5	45905.5	116170	95266	92328	28541	29007	36844	35157	37378	36033	40288	7078.25	5232.13333333333	7892.45	17734.4	11577.2333333333	11130.4	10096.55	7333.4	9018.15	9363.8
"G5E9W2"	54200.6666666667	50360	46173.6666666667	50076	48826.3333333333	54530.3333333333	24278	20508	22859.6666666667	39400.6666666667	53712.6666666667	37793	41780.3333333333	43504	43297.6666666667	42988.3333333333	20897.6666666667	20268.3333333333	21217.6666666667	34324.3333333333	61785	46845	51285.6666666667	50226.6666666667	45025.6666666667	47890	21278.1	17746.6333333333	20634.2333333333	32182.3333333333	44442.6666666667	44388.3333333333	41733.3333333333	37483.3333333333	36574.3333333333	38115.3333333333	20371.3333333333	19528	18172.6666666667	28224.6666666667
"O43324"	863920	701510	663326.666666667	1025400	990126.666666667	997843.333333333	1278966.66666667	1087323.33333333	1063046.66666667	860136.666666667	1182553.33333333	873203.333333333	998123.333333333	1331773.33333333	1296816.66666667	1279053.33333333	1563130	1458413.33333333	1523500	1150453.33333333	886806.666666667	738890	834040	797146.666666667	630770	727916.666666667	940450	827083.333333333	899633.333333333	734076.666666667	997503.333333333	1044106.66666667	690606.666666667	914783.333333333	797546.666666667	891966.666666667	1208713.33333333	977870	1070153.33333333	912326.666666667
"A0A3B3ISV4"	159321	163560	136082.666666667	153617.666666667	131243	149128	121072.333333333	118698.333333333	119896.666666667	148744.666666667	131236.666666667	93377.3333333333	111373.333333333	115535.333333333	101744.333333333	103216.333333333	78661.6666666667	82157	90934	114813.666666667	380680	308132.666666667	326470	181400	152753.666666667	180230.666666667	290426	266306.666666667	289930	183827	186777	173871	138601	225283.333333333	243371.333333333	229026.666666667	278426.666666667	208773.333333333	220270	148423.333333333
"A0A0G2JIS2"	33387.6666666667	26059.3333333333	23303	34078	34976.3333333333	33676.6666666667	33138.3333333333	25681	30987	35572	66713.3333333333	49345.3333333333	53766	57600.3333333333	55164.3333333333	53685	49806	47355.3333333333	54840.6666666667	61371	142570	108099.333333333	110756	44803.6666666667	39003.3333333333	46446	56856.3333333333	50021.3333333333	48733.3333333333	43811.6666666667	80838.6666666667	80594.3333333333	69871.3333333333	149768	144941	145819.666666667	89512.6666666667	74504.3333333333	89061.6666666667	93862.6666666667
"D3YTC9"	164404.5	140517	136655	121870	96086.5	109763	128337	111952	111428.5	123502	104424.5	91675	86198.5	83295.5	74807.5	48608.5	158355	113555	133055	124230	200125	166951.5	176397	142798.5	121415.5	122948	164140	139273.5	166265	113460	185607.5	181863.5	160025	169112.5	166221	169325.5	179883.5	140165.5	157745	134745
"Q9HCJ3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10027	6760.3	11097	7994.8	5828.8	3797.4	3217.7	3660.8	5711.2	5738.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q92922"	340980	345413.333333333	300760	314810	273073.333333333	294376.666666667	291566.666666667	254293.333333333	273090	310803.333333333	388830	262510	313743.333333333	379183.333333333	341016.666666667	282456.666666667	247076.666666667	266686.666666667	255986.666666667	289690	375286.666666667	307576.666666667	330786.666666667	324500	271363.333333333	280253.333333333	410056.666666667	368406.666666667	406646.666666667	257843.333333333	357523.333333333	371786.666666667	315346.666666667	354950	324260	345506.666666667	475163.333333333	386876.666666667	429690	277423.333333333
"Q5SRE5"	327483.333333333	291106.666666667	274726.666666667	321196.666666667	327503.333333333	313866.666666667	251953.333333333	211946.666666667	224433.333333333	275633.333333333	360610	244440	288350	353900	346293.333333333	344053.333333333	165993.333333333	182886.666666667	179230	250013.333333333	218986.666666667	169106.666666667	192546.666666667	223340	202056.666666667	200676.666666667	179670	166430	197936.666666667	162696.666666667	240013.333333333	238173.333333333	191173.333333333	159346.666666667	160473.333333333	176903.333333333	211293.333333333	169600	186313.333333333	162433.333333333
"Q00796"	1038250	881203.333333333	839970	642683.333333333	553300	592943.333333333	1158533.33333333	953380	989046.666666667	816500	872273.333333333	660456.666666667	740990	495536.666666667	468906.666666667	497490	848720	830380	871233.333333333	676616.666666667	767010	636636.666666667	675726.666666667	705946.666666667	546473.333333333	649293.333333333	715416.666666667	634430	711906.666666667	523890	807480	806520	602750	687206.666666667	648723.333333333	672303.333333333	927120	662556.666666667	761246.666666667	616656.666666667
"Q9NX46"	273740	245610	232720	570290	477526.666666667	544176.666666667	195740	172413.333333333	197820	298546.666666667	283436.666666667	199224	242693.333333333	464433.333333333	448696.666666667	461643.333333333	192713.666666667	191751.333333333	198522.666666667	289520	160246.666666667	144620	141383.333333333	119090.333333333	78093.6666666667	95534.3333333333	126643.333333333	112010	129990	99883.6666666667	118361	122554	97993.3333333333	144546.666666667	136213.333333333	147313.333333333	137101	121762.666666667	133855.666666667	111099.666666667
"E7EWM1"	51991	44732.6666666667	42350.3333333333	42042.6666666667	45567.6666666667	46177.6666666667	64592	58845	58620.6666666667	57793.6666666667	90472	66773	79356	39985	38799	40646	71705	62934	76612	85100	95483.6666666667	74537.6666666667	79352.3333333333	41966.6666666667	36062.7	39662.2333333333	55928	51757.3333333333	56943.3333333333	46387.1	31588.9	32639.9	39462.25	38952.1	39946	42926.55	65271.3	54696.65	59548.85	34287.45
"Q15283"	68826	62771.6666666667	57662.3333333333	51276	45671.3333333333	47762	33875.6666666667	34261.3333333333	33100.3333333333	51008.6666666667	166916.666666667	116749	131991.666666667	104140.666666667	118546.333333333	100926.333333333	81601.6666666667	78829.3333333333	83736.3333333333	102393	22384.8	21171.0666666667	20514.1333333333	58640	49550	53479.6666666667	52299	46609	52099.3333333333	35222.3333333333	79105.6666666667	79517	68573	24760.3333333333	26464.3333333333	27348.3333333333	68885.6666666667	57103.3333333333	63047.6666666667	47592
"Q9UPT8"	203563.333333333	201603.333333333	184096.666666667	282766.666666667	276180	275856.666666667	382396.666666667	307796.666666667	353073.333333333	258373.333333333	214753.333333333	134036.666666667	199023.333333333	249996.666666667	248496.666666667	227913.333333333	284723.333333333	300346.666666667	294916.666666667	225150	393480	328760	366626.666666667	200753.333333333	181870	188463.333333333	244696.666666667	273796.666666667	309480	246346.666666667	168690	141946.666666667	189016.666666667	285293.333333333	252156.666666667	303943.333333333	267933.333333333	207290	233650	202716.666666667
"J3KSZ8"	3319.3	1991.8	2528.8	5348.7	3877.6	4528.7	4261.1	5192.4	4275	2848.7	10622.0666666667	7095.73333333333	7845.96666666667	9253.03333333333	9552.1	7871.96666666667	8978.96666666667	8573.83333333333	9888.63333333333	8966	44990.6666666667	40107	37361.3333333333	25563.1	20520.8666666667	29521.2666666667	28935.3666666667	27138.6	33335.4333333333	25797.4333333333	7288	5658.6	8981.2	12472	15461	13387	6165.7	7692.6	8009	6672.8
"Q96L91"	100756	80013.6666666667	78396.3333333333	110664	111230.666666667	121906.666666667	97807.3333333333	82509.6666666667	91317.6666666667	104755	86238	63843.3333333333	69287.6666666667	88176	85354.3333333333	84287.6666666667	56815.3333333333	61067.3333333333	58785.6666666667	70956.6666666667	73321	65479.3333333333	68084.3333333333	38622.6666666667	31611.6666666667	35562.3333333333	32245.3333333333	31563.3333333333	35919.3333333333	33845	43345.6666666667	37052.3333333333	43739.6666666667	63703	62129.6666666667	65551.3333333333	45073.3333333333	38501.6666666667	41496.3333333333	41036.6666666667
"P52701"	530966.666666667	514126.666666667	449550	697576.666666667	579506.666666667	643320	784553.333333333	751720	756093.333333333	572186.666666667	626183.333333333	468203.333333333	509276.666666667	672130	628216.666666667	597736.666666667	771516.666666667	727960	742810	526296.666666667	453853.333333333	420566.666666667	416170	281316.666666667	223680	264710	217753.333333333	212200	230330	267316.666666667	524613.333333333	562706.666666667	492823.333333333	631136.666666667	588716.666666667	655136.666666667	429343.333333333	326113.333333333	376630	444560
"Q9H5N1"	81173.6666666667	70158.3333333333	70820.3333333333	51774.6666666667	44822.3333333333	49300	72774.6666666667	66513.6666666667	61565	75921.3333333333	120410.666666667	92794	108553.666666667	82653.6666666667	65112.6666666667	76538.3333333333	75240.6666666667	80511.3333333333	82400	87140.6666666667	217563.333333333	196063.333333333	184973.333333333	108917.666666667	83698	93337.6666666667	114246.333333333	110275.666666667	114149.333333333	87184	111177	118935	118444.333333333	160936.666666667	158256.666666667	153630	110078	99791.3333333333	113483.333333333	89495.3333333333
"P42566"	366136.666666667	293616.666666667	286823.333333333	313553.333333333	312830	342463.333333333	301573.333333333	247216.666666667	259353.333333333	327343.333333333	605823.333333333	416003.333333333	487353.333333333	476776.666666667	459726.666666667	445810	403910	380233.333333333	418730	484266.666666667	452006.666666667	382666.666666667	362563.333333333	315290	257383.333333333	283663.333333333	340826.666666667	291976.666666667	324676.666666667	236370	527760	541100	374423.333333333	557996.666666667	569133.333333333	576763.333333333	582796.666666667	461136.666666667	539856.666666667	428070
"P55036"	1775033.33333333	1736266.66666667	1465266.66666667	1552333.33333333	1485800	1544933.33333333	1594500	1423250	1397160	1605500	1894966.66666667	1311666.66666667	1449166.66666667	1620766.66666667	1425366.66666667	1294640	1424500	1344366.66666667	1313903.33333333	1550666.66666667	2348333.33333333	1922300	1885383.33333333	1334456.66666667	1141620	1270080	1560246.66666667	1294683.33333333	1420103.33333333	1226683.33333333	1175506.66666667	1239963.33333333	906336.666666667	1353706.66666667	1437970	1494223.33333333	1263016.66666667	1053173.33333333	1112303.33333333	985896.666666667
"Q5VWC4"	153380	144030	130500	112810	103990	100920	160210	163640	153210	126600	63896	49533	52418	61586	59090	69162	31073	46030	51231	52896	76498	66141	60124	42631	40507	38344	47317	40157	44782	39859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"A1X283"	1077186.66666667	1008946.66666667	838940	114478.666666667	121173.333333333	134810	185380	171250	176280	492113.333333333	1186170	803603.333333333	977243.333333333	83749.6666666667	75248.3333333333	75069	163610	158370	156336.666666667	463283.333333333	186723.333333333	156956.666666667	156160	744986.666666667	637253.333333333	657686.666666667	506726.666666667	449656.666666667	535620	301286.666666667	806136.666666667	832790	791826.666666667	158946.666666667	172476.666666667	169740	624430	496030	537856.666666667	341336.666666667
