"id"	"Reporter.intensity.corrected.1.TMT1"	"Reporter.intensity.corrected.2.TMT1"	"Reporter.intensity.corrected.3.TMT1"	"Reporter.intensity.corrected.4.TMT1"	"Reporter.intensity.corrected.5.TMT1"	"Reporter.intensity.corrected.6.TMT1"	"Reporter.intensity.corrected.7.TMT1"	"Reporter.intensity.corrected.8.TMT1"	"Reporter.intensity.corrected.9.TMT1"	"Reporter.intensity.corrected.10.TMT1"	"Reporter.intensity.corrected.1.TMT2"	"Reporter.intensity.corrected.2.TMT2"	"Reporter.intensity.corrected.3.TMT2"	"Reporter.intensity.corrected.4.TMT2"	"Reporter.intensity.corrected.5.TMT2"	"Reporter.intensity.corrected.6.TMT2"	"Reporter.intensity.corrected.7.TMT2"	"Reporter.intensity.corrected.8.TMT2"	"Reporter.intensity.corrected.9.TMT2"	"Reporter.intensity.corrected.10.TMT2"	"Reporter.intensity.corrected.1.TMT3"	"Reporter.intensity.corrected.2.TMT3"	"Reporter.intensity.corrected.3.TMT3"	"Reporter.intensity.corrected.4.TMT3"	"Reporter.intensity.corrected.5.TMT3"	"Reporter.intensity.corrected.6.TMT3"	"Reporter.intensity.corrected.7.TMT3"	"Reporter.intensity.corrected.8.TMT3"	"Reporter.intensity.corrected.9.TMT3"	"Reporter.intensity.corrected.10.TMT3"	"Reporter.intensity.corrected.1.TMT4"	"Reporter.intensity.corrected.2.TMT4"	"Reporter.intensity.corrected.3.TMT4"	"Reporter.intensity.corrected.4.TMT4"	"Reporter.intensity.corrected.5.TMT4"	"Reporter.intensity.corrected.6.TMT4"	"Reporter.intensity.corrected.7.TMT4"	"Reporter.intensity.corrected.8.TMT4"	"Reporter.intensity.corrected.9.TMT4"	"Reporter.intensity.corrected.10.TMT4"
"Q9UKS6"	236276.666666667	223470	198366.666666667	224730	214166.666666667	236230	299950	282613.333333333	292566.666666667	273236.666666667	325916.666666667	246726.666666667	272076.666666667	223643.333333333	216630	210750	216440	203860	217646.666666667	296210	369813.333333333	321456.666666667	335570	202956.666666667	160520	195293.333333333	429526.666666667	376113.333333333	416796.666666667	195583.333333333	214096.666666667	240926.666666667	209800	337663.333333333	316843.333333333	348906.666666667	528026.666666667	413076.666666667	485696.666666667	199930
"Q9Y2A7"	1046816.66666667	888746.666666667	814056.666666667	755040	767450	780643.333333333	1027270	872300	875946.666666667	847016.666666667	1030226.66666667	701143.333333333	798806.666666667	742393.333333333	723920	689726.666666667	851320	811346.666666667	890456.666666667	784206.666666667	612926.666666667	531893.333333333	526743.333333333	473436.666666667	413400	465486.666666667	556843.333333333	471293.333333333	546990	394613.333333333	756290	731390	529266.666666667	663140	632193.333333333	695470	849713.333333333	669233.333333333	767060	587670
"D6REB5"	43529	38777.5	32505	10611.95	16994.8	11195.75	20207.8	14558.4	15775.5	25670.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58195.5	46021.5	50524	51070.5	38127	43618.5	13567.5	9262.9	9573.8	20756.65	91246	76809	44332	82951	94252	83801	20307	9629.7	25104	48230
"Q9NW82"	289843.333333333	267753.333333333	235120	264336.666666667	252160	279443.333333333	532950	453950	460806.666666667	303696.666666667	494380	349383.333333333	402343.333333333	432426.666666667	422526.666666667	409206.666666667	758783.333333333	730950	764726.666666667	478956.666666667	140813.333333333	117968	118760	111246.333333333	95724.3333333333	108306.666666667	130727.333333333	125082	131320.666666667	105081.666666667	299343.333333333	326996.666666667	232574.333333333	340506.666666667	335336.666666667	344903.333333333	382110	309353.333333333	320800	301983.333333333
"Q9BZD4"	857103.333333333	720713.333333333	668763.333333333	453660	415176.666666667	460766.666666667	505856.666666667	424496.666666667	469190	465786.666666667	496670	288523.333333333	303450	274890	264533.333333333	257113.333333333	325320	308786.666666667	319726.666666667	247283.333333333	100173.333333333	83636.3333333333	86721	213500	166203.333333333	193580	119290	91214	118713.333333333	160746.666666667	561226.666666667	534990	250610	127023.666666667	110905.333333333	132101.333333333	305990	218954.666666667	260580.666666667	335623.333333333
"Q01995"	4551500	4376433.33333333	3938800	93959	111325	105244.333333333	418950	400273.333333333	289840	1706133.33333333	4386266.66666667	3344400	3769666.66666667	60336.3333333333	75213.3333333333	93386.6666666667	346720	318303.333333333	321050	1434200	149523	131845.333333333	148911.333333333	2514333.33333333	2062600	2216366.66666667	2082166.66666667	1874833.33333333	2155233.33333333	921380	3097966.66666667	3233500	2807166.66666667	156088.333333333	158719	151399.666666667	3238900	2535466.66666667	2462100	1089400
"Q15149"	11458700	9756866.66666667	8292200	4457266.66666667	4484933.33333333	4556666.66666667	8257766.66666667	6662300	6753500	5721333.33333333	11293800	8028233.33333333	7873533.33333333	5214500	5434600	4643600	6625766.66666667	6359566.66666667	6623933.33333333	5296000	3513933.33333333	2793166.66666667	2773833.33333333	9530533.33333333	7876133.33333333	7657233.33333333	1533466.66666667	1583733.33333333	1771466.66666667	4203000	8836333.33333333	8963966.66666667	7528100	2763700	2629400	2925166.66666667	2175233.33333333	1741400	2004700	4419700
"P20962"	3480460	3063653.33333333	2954576.66666667	1364076.66666667	1231530	1299870	2291590	1953823.33333333	1941866.66666667	1783433.33333333	3970700	3081400	3319966.66666667	1492030	1381896.66666667	1598840	2353366.66666667	2143800	2442566.66666667	2095066.66666667	2134533.33333333	1876866.66666667	1741533.33333333	4337500	3508366.66666667	3770333.33333333	1192716.66666667	1093376.66666667	1383956.66666667	2087600	4503100	4565866.66666667	4494466.66666667	1633426.66666667	1689256.66666667	1610733.33333333	1434153.33333333	1156796.66666667	1328810	2187833.33333333
"P24385"	42001	34463.3333333333	32065	48202	45428.6666666667	51099.6666666667	31552.3333333333	32122.6666666667	33308.3333333333	52438	39865.3333333333	34254.3333333333	34576	27988.6666666667	28239	29133	42651.6666666667	41627	43299.3333333333	48080.3333333333	106092	86929.3333333333	91189.6666666667	34788.3333333333	27410.3333333333	28878.6666666667	39543	42781.3333333333	49645.6666666667	38251	73334.6666666667	83371	73809	135295	138945.666666667	142944.666666667	180844	172810.666666667	176229	75500.3333333333
"A0A2U3TZT9"	26577	22090	23471	50619	45161	53126	22358	17947	19715	38569	11454	9573.4	7818.5	16215	14105	13926	5668.8	5365.4	6588.3	10889	1742.5	NA	1286.7	868.73	3599.9	751.69	NA	NA	968.69	NA	1006.8	1617.9	2164.6	2393.3	1733.2	1418.6	1990.6	1522.8	2699.1	1597.6
"Q13356"	97840	90792	90564	57960	57418	57808	80809	80430	71382	114370	109620	80456.6666666667	92822.6666666667	63640.3333333333	62963	59540.6666666667	77215.6666666667	75398	82745.3333333333	101086.333333333	113721	101074	95844	86912.6666666667	81882.3333333333	79924.6666666667	152478	132015.333333333	146393.333333333	74562.3333333333	56675.6666666667	59777.6666666667	60291	60493.3333333333	72242.6666666667	63607	110981	85278	97432.6666666667	48210.3333333333
"Q9NPJ8"	70296	96372.6666666667	66687.3333333333	60194	57751.6666666667	71041	59066.6666666667	68290.6666666667	64810.3333333333	63679	74703.5	47886	68418.5	122106	77548	54885	53009	48548	47666.5	61345	101889	89934	93446	65964.5	50694	67242	41872.5	67034.5	55147	56499.5	198490	242890	285260	173740	229250	174280	117290	82667	82233	143170
"Q9UKK6"	12840	12926	13464	16888	12382	15798	10514	14061	10180	11791	2896.5	1625.3	1612.5	3122.5	3124.1	3394.3	1399.4	1721.2	3377.8	3090.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P11586"	1654966.66666667	1448833.33333333	1429533.33333333	1848900	1628366.66666667	1751400	3003466.66666667	2577700	2537733.33333333	1946400	1911666.66666667	1368033.33333333	1600600	1845000	1892433.33333333	1771333.33333333	3022600	2893166.66666667	2962700	1940266.66666667	3447566.66666667	2903900	2896933.33333333	1286956.66666667	989796.666666667	1109226.66666667	1530800	1273000	1433600	1337966.66666667	1358966.66666667	1383233.33333333	1257733.33333333	2650600	2501500	2758100	1547333.33333333	1290966.66666667	1466700	1390266.66666667
"Q8WUM4"	2491566.66666667	2174633.33333333	2045733.33333333	2890166.66666667	2787833.33333333	2916000	1775700	1573266.66666667	1542766.66666667	2012066.66666667	2723500	2022166.66666667	2169166.66666667	2840266.66666667	2701400	2680133.33333333	1466280	1515040	1616263.33333333	2000500	2128666.66666667	1796300	1904866.66666667	1875300	1610000	1781066.66666667	1545966.66666667	1363800	1604766.66666667	1403833.33333333	1805100	1926700	1629900	1560600	1369366.66666667	1494033.33333333	1490800	1221633.33333333	1287100	1349333.33333333
"O60337"	36961	36577	29976	58413	40070	51989	105940	82812	85899	50012	10666.15	7784.3	9969.8	11518.65	13747.05	11562	24297	24249	25177.5	13672.65	20959.5	20417	19968.5	12906.35	12397.6	12111.4	13820.6	11879.05	14568.9	17817	10076.65	10699.5	7560.1	12725.05	14457.75	14306.25	14606.2	12215.2	13642	10922.3
"J3KR44"	1818466.66666667	1605400	1552966.66666667	1374110	1223250	1336846.66666667	2119533.33333333	1915733.33333333	1805966.66666667	1575333.33333333	1715133.33333333	1275880	1334643.33333333	1104613.33333333	1055433.33333333	1010600	1638166.66666667	1602566.66666667	1623266.66666667	1377600	2342033.33333333	1878400	1879466.66666667	1129800	880810	1013780	889203.333333333	825603.333333333	924073.333333333	963153.333333333	1425620	1447490	1523000	1924900	1740566.66666667	2002633.33333333	1042583.33333333	882270	1033333.33333333	1106350
