"id"	"Reporter.intensity.corrected.1.TMT1"	"Reporter.intensity.corrected.2.TMT1"	"Reporter.intensity.corrected.3.TMT1"	"Reporter.intensity.corrected.4.TMT1"	"Reporter.intensity.corrected.5.TMT1"	"Reporter.intensity.corrected.6.TMT1"	"Reporter.intensity.corrected.1.TMT2"	"Reporter.intensity.corrected.2.TMT2"	"Reporter.intensity.corrected.3.TMT2"	"Reporter.intensity.corrected.4.TMT2"	"Reporter.intensity.corrected.5.TMT2"	"Reporter.intensity.corrected.6.TMT2"
"G3UY42"	141855.5	274230	173200	147480	189940	192770	70327	74433	69362	141770	149310	105690
"A2ARS0"	1534300	688728.333333333	1204973.33333333	1658333.33333333	1637280	2047810	1018670	848550	934076.666666667	398860.333333333	579400	604413.333333333
"P63085"	7850966.66666667	6062200	4816016.66666667	4377416.66666667	7344510	5914500	14272166.6666667	15162566.6666667	13325466.6666667	9374500	7826100	12500866.6666667
"D3Z3G6"	1325385	904430	1141945	498130	1243910	784375	3375350	4139050	3376250	2519200	1919350	3100150
"Q3TLR3"	17013	6679.7	11430	NA	14240	14479	235733.333333333	399395	391580	277255	171823.5	314721.666666667
"Q8BKC5"	770910	729753.333333333	567743.333333333	393166.666666667	442490	460966.666666667	631380	488136.666666667	647203.333333333	525426.666666667	328026.666666667	761733.333333333
"Q9CX34"	NA	NA	NA	NA	NA	NA	325425	187800.9	210552.733333333	195435	172930	230175.5
"D3Z4J5"	725980	487850	670440	344380	499670	515140	NA	NA	NA	NA	NA	NA
"E9PU87"	346169	217685.666666667	274378	159363.666666667	246718	224611	212900	212770	214720	118840	101750	230650
"B1AX98"	583256.666666667	607100	416316.666666667	373926.666666667	579653.333333333	405120	289972	348293.333333333	301390	252740	161976.333333333	312296.666666667
"Q8BG32"	904430	897350	740065	531190	682295	636350	820503.333333333	841923.333333333	688890	772210	575996.666666667	786623.333333333
"Q8C2E1"	4002700	2789000	3850666.66666667	2469346.66666667	4184066.66666667	3197166.66666667	6883900	7511866.66666667	6945933.33333333	4211666.66666667	3909066.66666667	6594133.33333333
"P63213"	6137533.33333333	3086800	3558993.33333333	2174563.33333333	3366656.66666667	2213260	13691846.6666667	15863866.6666667	16502083.3333333	8831633.33333333	4945836.66666667	14695540
"P63216"	862920	779270	872520	734470	1313600	653410	906183	854293.666666667	1003883	676719.466666667	320123.333333333	1197593
"O35445"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q9ESJ4"	548130	308550	405450	270173.333333333	444056.666666667	284213.333333333	602860	563740	546416.666666667	444446.666666667	407230	693396.666666667
"P97807"	3658483.33333333	2913623.33333333	3173790	1686080	2744418	2387820	4934933.33333333	5102266.66666667	4503166.66666667	4285400	3867300	4669933.33333333
"Q80TT4"	1092296.66666667	656470	910420	747393.333333333	850630	915126.666666667	3270533.33333333	3520100	2930766.66666667	2000966.66666667	2390300	2475966.66666667
"Q8C845"	2598933.33333333	2318100	4136466.66666667	1365776.66666667	2391933.33333333	1359000	2179343.33333333	2164366.66666667	2009666.66666667	2329573.33333333	1362496.66666667	3146866.66666667
"Q0PD35"	1266850	950790	918685	525375	728640	676575	1578995	1826160	1814125	1026065	783495	1423370
"Q8BIJ7"	107940	106610	95703	94561	144860	94195	69065	73781	81713	54580	37363	98377
"Q9QYX7"	1194116.66666667	874636.666666667	1108566.66666667	884806.666666667	1557433.33333333	947770	1547800	1708833.33333333	1265883.33333333	1270763.33333333	779716.666666667	1580500
"Q9Z266"	65574	50631	47979	20331	50320	39249	NA	NA	NA	NA	NA	NA
"Q3UHB8"	502200	360420	391425	299080	616415	379120	391240	518390	382970	389680	244690	457690
"Q3THQ5"	11529400	10892900	10472833.3333333	5867033.33333333	11448900	7155900	13465766.6666667	15770100	13151533.3333333	10182533.3333333	7450166.66666667	12345200
"Q9D9P1"	2546423.33333333	2286456.66666667	2425140	1594233.33333333	2745200	2067366.66666667	2662910	2715336.66666667	2226386.66666667	2021976.66666667	1958696.66666667	2440406.66666667
"Q543K9"	564770	680670	645000	230455	339925	314620	237998.5	250212.5	277750	256040	176294	261185
"A0A087WRM2"	387606.666666667	227306.666666667	258023.333333333	186960	197201.333333333	201703.333333333	277846.666666667	238336.666666667	276386.666666667	206583.333333333	148000	290586.666666667
"F6U7V1"	572810	498093.333333333	426340	355846.666666667	565786.666666667	388186.666666667	726806.666666667	615303.333333333	669453.333333333	614063.333333333	436970	800140
"Q3UFJ3"	8751400	7197533.33333333	7589833.33333333	4724866.66666667	7371633.33333333	6770200	7908400	8950300	8044200	6419933.33333333	6049366.66666667	8439233.33333333
"E9QP59"	NA	NA	NA	NA	NA	NA	22411	34158	28825	10210	10014	26481
"B9EIX2"	158073.666666667	104740	120336	90431	153935.333333333	84000.6666666667	238053.333333333	283666.666666667	204860	203526.666666667	145826.666666667	220433.333333333
"Q8BW35"	312300	318920	230070	103450	265570	161290	201830	233130	196200	124880	132660	174810
"Q80TM9"	231515	167330	154160	108662.5	171250	152085	NA	NA	NA	NA	NA	NA
"Q91VA7"	3664566.66666667	2711300	3126500	1652120	2237133.33333333	2553900	6170600	6949066.66666667	6670166.66666667	5391733.33333333	4404900	7641600
"Q3THC1"	787963.333333333	696743.333333333	672723.333333333	382603.333333333	798923.333333333	528493.333333333	613003.333333333	638010	581433.333333333	467523.333333333	393725	589293.333333333
"Q8BR90"	NA	NA	NA	NA	NA	NA	6437.6	1678.8	NA	6266.4	3101.1	1982.5
"P42669"	1205400	833440	1022763.33333333	500220	572330	707293.333333333	605710	512646.666666667	538966.666666667	534923.333333333	482476.666666667	687886.666666667
"Q14AG7"	207006.666666667	118777	190606.666666667	83891.3333333333	72411	139070	415393.333333333	333880	353026.666666667	365330	281363.333333333	375050
"Q5U3K5"	81389	75550.6666666667	63744.3333333333	49609.9333333333	88530.6666666667	58948	366260	361065	310875	322280	214445	344560
"Q80TZ3"	1366333.33333333	1138770	1276516.66666667	865380	1498566.66666667	852896.666666667	2119100	1848433.33333333	1982000	1606100	1006793.33333333	2441366.66666667
"Q6ZQ38"	2772333.33333333	2182400	2032200	1413166.66666667	1697033.33333333	1810200	3240900	3091633.33333333	3447266.66666667	2706033.33333333	1839166.66666667	3578366.66666667
"Q5EBQ2"	3021966.66666667	1837906.66666667	2355100	1064196.66666667	1665156.66666667	1834866.66666667	5190400	4080000	3892033.33333333	5299766.66666667	4996933.33333333	4245400
"Q546G4"	2818066.66666667	5791766.66666667	10926700	5964133.33333333	4455600	2953800	15033066.6666667	13831033.3333333	22693933.3333333	17279433.3333333	8306333.33333333	13738200
"Q9DAK9"	NA	NA	NA	NA	NA	NA	524010	428495	377100	426110	348565	454695
"A0A0R4J124"	274981.666666667	251159	227876	201072.666666667	333343.333333333	232043.666666667	615176.666666667	733983.333333333	653623.333333333	552616.666666667	342343.333333333	795626.666666667
"P17426"	7325566.66666667	5638133.33333333	5369800	5174700	6519066.66666667	5435433.33333333	9069533.33333333	9781366.66666667	7744133.33333333	6949800	5914466.66666667	9119733.33333333
"Q80YC0"	54038	49405	32540	28263	34573	33751	75596	78744	112310	71184	59723	87722
"P52480"	32287666.6666667	27484666.6666667	32090333.3333333	20449533.3333333	27597666.6666667	23125000	16628333.3333333	20390666.6666667	15874666.6666667	13784000	13666666.6666667	13769766.6666667
"A0A087WPL5"	638603.333333333	653943.333333333	516860	472901.666666667	563826.666666667	743983.333333333	473440	492660	309580	414165	324180	374075
"A2AS98"	2319070	1801723.33333333	1969846.66666667	1899076.66666667	2610666.66666667	1914820	2703166.66666667	2816323.33333333	2245523.33333333	1793953.33333333	1245373.33333333	2755133.33333333
"B1AWE0"	2026100	1715870	1518583.33333333	1371823.33333333	3072266.66666667	1814566.66666667	10224900	8220466.66666667	10825400	8237066.66666667	3902133.33333333	7390933.33333333
"Q7TQI3"	2382133.33333333	1501653.33333333	1785886.66666667	1159476.66666667	1617116.66666667	1459353.33333333	2313700	1933600	2263533.33333333	1646246.66666667	1603486.66666667	2421233.33333333
"Q571F3"	503130	226540	246160	167260	91124	296440	896766.666666667	823503.333333333	650038	710184.666666667	649046.666666667	730548.666666667
"P67778"	2930733.33333333	2446033.33333333	2420333.33333333	1535040	2287133.33333333	2091466.66666667	2371933.33333333	2166033.33333333	2292200	2093666.66666667	1730633.33333333	2176233.33333333
"Q9Z1W8"	NA	NA	NA	NA	NA	NA	26071000	37395000	30186000	29754000	17616000	42988000
"Q68FG2"	1746433.33333333	1876233.33333333	1039813.33333333	2028933.33333333	3584633.33333333	1722600	2440800	3143800	1244040	2328366.66666667	1452666.66666667	3037866.66666667
"Q5PR72"	2690933.33333333	993750	2640800	1721670	2257200	2356966.66666667	3051300	3101733.33333333	2735033.33333333	1886200	1913733.33333333	2379966.66666667
"A2AQN2"	74930	55617	61637	32880	70261	47348	NA	NA	NA	NA	NA	NA
"Q9Z1P6"	1795621	1739011.33333333	1647919.33333333	1022462.33333333	1906261.33333333	1470744.33333333	3030240	3138950	2356455	2269450	1933300	2096300
"A0A0G2JGR7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q3TUA5"	72960	56029	56753	21052	58441	45694	NA	NA	NA	NA	NA	NA
"Q9R1Q8"	11234366.6666667	7342400	10632000	6268200	11390866.6666667	6283166.66666667	9596266.66666667	11337166.6666667	9807866.66666667	7755933.33333333	5881933.33333333	11563500
"Q8BPH1"	2616100	2310033.33333333	2086000	1451100	1861033.33333333	1984666.66666667	15840666.6666667	12717000	14226333.3333333	12974233.3333333	9121033.33333333	15186800
"Q8BGB7"	733249.5	672719.5	704901	392554	548883	572357.5	696453.333333333	656433.333333333	560323.333333333	688613.333333333	552880	547863.333333333
"Q8BSZ8"	587445	425975	554335	370515	452945	427485	683136.666666667	604133.333333333	682830	512803.333333333	430703.333333333	589863.333333333
"D3Z494"	1248580	1006205	1125005	450185	774320	619945	776360	788685	766605	625090	449990	755220
"Q3TAH3"	9446.2	13620	1006.2	2086.6	1835.9	2329.4	2659.7	1857.7	NA	1794.1	NA	NA
"A0A1B0GS58"	123590	96168	84742	57921	64017	77488	471526.75	413481.55	997520	329414.15	573100	1146400
"Q3TYV5"	20166333.3333333	4519266.66666667	33039666.6666667	4160033.33333333	8088366.66666667	6674300	14881000	18480000	15248500	13505000	14549666.6666667	16413500
"A0A1L1SQZ2"	549630	461750	520990	482010	956030	510200	18524.5	15704	12088.4	14610	6691.65	26104
"Q9D1S3"	2831600	2771400	2230900	1530223.33333333	3336366.66666667	1889270	1905633.33333333	2356766.66666667	1679923.33333333	1782786.66666667	1564820	1989300
"Q9CYG7"	568650	385716.666666667	368353.333333333	171043.333333333	293080	249003.333333333	527883.333333333	472883.333333333	507226.666666667	332413.333333333	255100	488336.666666667
"Q8BIA0"	18712	6642.2	5571.5	16428	16000	26737	167953.333333333	187702	158422.333333333	102927	105938.666666667	156238.666666667
"B7ZNF6"	630823.333333333	523126.666666667	592060	388540	599053.333333333	442850	463540	531276.666666667	307806.666666667	481053.333333333	347173.333333333	357663.333333333
"Q9JJQ6"	144315.7	301460	316180	224080	314740	215110	37792.8333333333	57282.5	37338.3333333333	42610.6333333333	39707	60602.5
"Q922B1"	735740	596400	505380	165260	489970	284310	181940	172560	206920	118340	121390	268690
"Q9D8N0"	710056.666666667	562620	523396.666666667	305183.333333333	349696.666666667	407550	1124966.66666667	984476.666666667	1078373.33333333	991043.333333333	693990	1169876.66666667
"Q9Z0V2"	NA	NA	NA	NA	NA	NA	652073.333333333	355440	645803.333333333	394870	267460	502060
"O54984"	644006.666666667	631153.333333333	596456.666666667	390313.333333333	533313.333333333	490336.666666667	930893.333333333	1089770	957273.333333333	780123.333333333	582493.333333333	1059793.33333333
"Q8R2R3"	NA	NA	NA	NA	NA	NA	227410	245027	232060.5	171723.5	83175.7666666667	247140.5
"A0A0R4J1R7"	179780	127888.5	128741.5	54145.5	84373	96960	NA	NA	NA	NA	NA	NA
"Q9QXZ0"	538293.333333333	597913.333333333	370733.333333333	311206.666666667	521413.333333333	344866.666666667	418216.666666667	380323.333333333	326176.666666667	367446.666666667	313586.333333333	351970
"Q04690"	337560	219041	208317	152422.666666667	117108.666666667	181203.666666667	184116	147118.666666667	171386	165935	89454.6666666667	163114.666666667
"O08599"	42541333.3333333	30795400	38812266.6666667	23406033.3333333	33834500	25199066.6666667	41129333.3333333	37046666.6666667	46037333.3333333	30799333.3333333	21916666.6666667	54987000
"P16858"	8977533.33333333	6550566.66666667	7836866.66666667	4705433.33333333	5664433.33333333	5882800	22283666.6666667	18701666.6666667	15383500	23593666.6666667	21664333.3333333	15597933.3333333
"Q8BYI9"	5983633.33333333	3383766.66666667	5134533.33333333	3421600	4833033.33333333	3901500	9867300	8923100	9097433.33333333	8995500	5859600	10912800
"Q5J8K6"	654533.333333333	495690	496043.333333333	527680	1060936.66666667	600076.666666667	2173953.33333333	2041586.66666667	1645040	1492456.66666667	901043.333333333	2096366.66666667
"B2RPW2"	310660	225710	277430	188090	265590	200180	171610	180270	160370	143350	123910	192650
"Q9CR37"	3976.7	NA	NA	NA	NA	2312.8	88477	162450	111190	72104	51211	82950
"Q8K0E2"	NA	NA	NA	NA	NA	NA	441416.666666667	500453.333333333	435313.333333333	388628.666666667	264424	474190
"Q6P9R2"	622140	554360	613080	290480	600970	329080	366040	361590	313040	291770	222310	370070
"Q8C419"	708603.333333333	436093.333333333	807703.333333333	471913.333333333	949030	604293.333333333	1046116.66666667	1015573.33333333	1105026.66666667	813633.333333333	827786.666666667	1149066.66666667
"A0A0R4IZX5"	893726.666666667	965990	676470	1079563.33333333	2120300	1083030	3093333.33333333	3323966.66666667	3236000	2677300	1421066.66666667	3398966.66666667
"Q3TXY0"	8665766.66666667	7239900	7344333.33333333	4937166.66666667	7405266.66666667	5047866.66666667	7971200	8650066.66666667	8101200	7093800	4570133.33333333	8539533.33333333
"O08553"	37082333.3333333	25344333.3333333	35713333.3333333	20163000	36044666.6666667	20186666.6666667	42330333.3333333	51595666.6666667	47967333.3333333	29048666.6666667	24820000	45695000
"D3Z7E6"	1237806.66666667	1437403.33333333	627863.333333333	274826.666666667	533646.666666667	363266.666666667	NA	NA	NA	NA	NA	NA
"Q8BYM8"	16562	16037	17441	12543	6765.3	18630	158980	155340	109010	118020	86945	118550
"Q3T9Z2"	1889926.66666667	1204643.33333333	1901856.66666667	764143.333333333	1041013.33333333	1028400	2503266.66666667	2449700	2576366.66666667	1935770	1577970	2406900
"Q4ACU6"	300886.666666667	164240	297850	539096.666666667	736610	499263.333333333	349713.333333333	344270	263940	209885.333333333	145838	258830
"Q8CBB7"	749955	645390	596570	418580	498865	476005	522040	593603.333333333	563723.333333333	366453.333333333	363540	608416.666666667
"P28663"	4352880	2765160	2958660	2519053.33333333	2875923.33333333	3541086.66666667	10749333.3333333	7762666.66666667	10059000	8332366.66666667	5672333.33333333	10871300
"Q9D094"	1599786.66666667	1574740	1276833.33333333	834683.333333333	1495696.66666667	945876.666666667	1569630	1858933.33333333	1900373.33333333	1247610	834420	1850560
"Q3U311"	282725	173320	296435	133090	265455	171625	303310	397880	397050	221333.333333333	129240	421390
"P84086"	1072015	606435	1363570	648440	1163230	1119440	2142915.33333333	2487228	910644.666666667	2855153.33333333	2632180	815565
"Q9WV34"	1313846.66666667	2368600	696043.333333333	1171086.66666667	1954560	1326243.33333333	2224133.33333333	2467166.66666667	2070900	2228266.66666667	1148566.66666667	3167333.33333333
"Q6NS54"	111080	28228	40546	71689	13987	44435	144318.5	88815.5	122350.5	157641	56040	258264.5
"Q9JLN9"	1127610	812256.666666667	1630723.33333333	511823	904923.333333333	583173.333333333	395943.333333333	443296.666666667	359350	372056.666666667	274740	431236.666666667
"Q64487"	556076.666666667	406923.333333333	532476.666666667	387703.333333333	599866.666666667	412900	1344666.66666667	1348300	1394000	1086663.33333333	828990	1634333.33333333
"Q8BVK3"	54943	76229	70711	46097	64190	39504	250910	274910	237993.333333333	191397.666666667	131831	260340
"Q7TPN5"	160040	139660	155670	99215	227150	120790	1207194	1360616.66666667	1314614	1014178.66666667	694676.666666667	1453736.33333333
"A0A2R8VHU8"	89528	83341.5	85166	105022	129521.5	76784	374080	361450	422235	281985	178625	399470
"A0A1L1SQA8"	2644850	2960950	2267850	1951600	3043450	1985300	3193800	4480200	3225983.33333333	2961486.66666667	1610003.33333333	3893133.33333333
"O35954"	557296.666666667	398880	495050	262436.666666667	484793.333333333	310723.333333333	579673.333333333	553856.666666667	549750	487200	360530	588920
"Q60996"	311270	213035	262260	174663	245727	197530.5	238900	275060	230750	147270	153740	239570
"Q99JY0"	1325093.33333333	1547730	1152800	551243.333333333	896170	796433.333333333	404323.333333333	421880	422743.333333333	259940	270406.666666667	409513.333333333
"E9Q919"	2231900	2037900	1907600	1255185	1563850	1395935	19807	NA	NA	NA	NA	NA
"O88951"	NA	NA	NA	NA	NA	NA	272730	272370	267730	188100	158770	256760
"Q3U2G9"	482480	440670	333120	287130	551660	331080	596370	679170	491370	878910	746560	538240
"Q3UZT7"	5209166.66666667	3308930	4468243.33333333	1665906.66666667	2751370	2583263.33333333	1651166.66666667	1904000	1600433.33333333	1334813.33333333	856073.333333333	1878100
"Q4VAA2"	NA	NA	NA	NA	NA	NA	357424	418956	363912	388975.5	207830.35	351370
"Q3TYE5"	6624766.66666667	3086743.33333333	4908296.66666667	3115163.33333333	5864383.33333333	3442296.66666667	10810066.6666667	9177300	9984066.66666667	5773100	4802566.66666667	9123700
"Q64727"	649823.333333333	871166.666666667	679176.666666667	512896.666666667	1571706.66666667	584780	201021.666666667	271287.333333333	197627	227275.666666667	145264	203800.666666667
"Q9D0M3"	7226533.33333333	5983700	5786700	3964200	4930100	5376633.33333333	10923066.6666667	11388100	11227333.3333333	9137300	6742566.66666667	11981966.6666667
"A0A1D5RLG3"	189163.333333333	198350	175493.333333333	114410.666666667	179776.666666667	96700	620476.666666667	705706.666666667	613846.666666667	576330	373966.666666667	700680
"Q8BMF4"	7427040	7102233.33333333	7264466.66666667	4904753.33333333	8012333.33333333	6000576.66666667	6797466.66666667	7148166.66666667	5389700	5868466.66666667	4593100	5539500
"F6ZHD8"	128379.5	146009.95	271500	173380	182690	156580	64080.5	73605	67672	47165	34441	69511
"Q8VBT9"	NA	NA	NA	NA	NA	NA	106461.5	94601.85	98301	96238.7	134200	101678.5
"Q8CBG6"	875236.666666667	1102836.66666667	722723.333333333	530380	808770	641423.333333333	530643.333333333	485106.666666667	460760	438810	327363.333333333	506786.666666667
"P97300"	6170000	5159566.66666667	5566533.33333333	6376033.33333333	9937800	6183700	10318566.6666667	12112033.3333333	10535066.6666667	10198100	6332533.33333333	14602633.3333333
"Q4FK49"	1523600	2251400	1441300	948610	1174800	1030400	905414	838664.666666667	780839.333333333	762556	494001.333333333	847550
"Q61361"	4216300	1956376.66666667	3689466.66666667	2332453.33333333	3921500	3010566.66666667	7120466.66666667	7072433.33333333	7177200	6666966.66666667	4077200	7977366.66666667
"Q5M9J2"	833925	710845	620550	332630	684680	472045	768566.666666667	809600	792876.666666667	585430	424253.333333333	708366.666666667
"A0A1D5RLS1"	768710	865296.666666667	594713.333333333	599360	994903.333333333	636596.666666667	488076.666666667	556403.333333333	413463.333333333	396206.333333333	299236.333333333	503709.333333333
"Q4FJL2"	5403283.33333333	3020496.66666667	2999786.66666667	3363816.66666667	3339056.66666667	3685363.33333333	5491800	4443633.33333333	5228733.33333333	4622633.33333333	3949966.66666667	5408400
"O08539"	1213723.33333333	696586.666666667	1329140	434482.333333333	664913.333333333	591886.666666667	1690783.33333333	1953833.33333333	1268516.66666667	2048863.33333333	1935213.33333333	1167826.66666667
"Q3UWE3"	NA	NA	NA	NA	NA	NA	3760.4	2278.9	NA	NA	NA	NA
"E9Q2S9"	408770	416070	348880	259170	410050	276080	NA	NA	NA	NA	NA	NA
"Q6PB94"	407800	335540	436720	225050	605310	344830	667630	733743.333333333	566176.666666667	648776.666666667	589196.666666667	721030
"Q6SKR2"	112256.5	97048.5	84161	45823.5	108700	67011.5	44622	24779	44661	50458	28952	46483
"Q8BJY1"	NA	NA	NA	NA	NA	NA	120980	118565	107955	92783.5	57327	95345.5
"P70697"	239940	215470	247550	141380	281040	144900	139380	113410	159640	97245	84796	175430
"P62996"	760673.333333333	942453.333333333	624468.666666667	449217.333333333	944077.333333333	841833.333333333	810090	990080	566365	674160	474190	781065
"Q5FWB7"	58155000	42205066.6666667	52576000	35739400	57272200	38000100	65682666.6666667	76284666.6666667	68158666.6666667	53814666.6666667	38749000	75280333.3333333
"Q05D14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q3ULW0"	3092183.33333333	2952173.33333333	2395926.66666667	1768700	1980790	2071896.66666667	3721166.66666667	3760133.33333333	3115996.66666667	3369533.33333333	2578700	3623810
"P62911"	1845800	2243885	1367660	1294375	2149525	1702555	4935800	5552000	3834200	3345100	1587030	4755100
"P17710"	26283000	19868000	19484000	15576166.6666667	21889000	17974666.6666667	22839333.3333333	30690666.6666667	24711333.3333333	19749666.6666667	16582666.6666667	32375333.3333333
"Q3V235"	4044633.33333333	3158900	3069766.66666667	2385636.66666667	2658936.66666667	2897300	3931466.66666667	3326256.66666667	3693733.33333333	3218100	2879433.33333333	3572500
"A0A5F8MPJ2"	200530	143120	196350	192220	399210	194970	165471	168508.5	161146	128004	89715.5	179545
"A2AIV3"	433785	1306915	258790	254280	374565	354515	248475.333333333	262360	237627.333333333	124550.666666667	132500.333333333	170272.333333333
"P46460"	13525333.3333333	8086600	10373633.3333333	7763266.66666667	12050666.6666667	9126700	23997333.3333333	22935666.6666667	22128000	19187666.6666667	12036000	23055333.3333333
"A0A1B0GR11"	1999945	1731235	2519885	1125770	1662730	1627550	964650	1115030	417535	1176530	1534700	406835
"E0CYE5"	NA	NA	NA	NA	NA	NA	6295.7	16011	1976.8	3601.9	12682	6932.8
"Q9EPL2"	755850	730100	959590	518040	939380	538100	507000	566423.333333333	554466.666666667	454536.666666667	271823.333333333	649216.666666667
"E9Q242"	NA	NA	NA	NA	NA	NA	251910	219360	188700	188570	157630	253150
"Q99PU5"	999020	1192416.66666667	863683.333333333	445113.333333333	672800	656510	1035666.66666667	955963.333333333	943463.333333333	816366.666666667	616310	994063.333333333
"Q8K0J8"	388456.666666667	340406.666666667	315263.333333333	234603.333333333	314146.666666667	256323.333333333	573610	553223.333333333	513353.333333333	437070	315293.333333333	562736.666666667
"G3UWM5"	84843	52847	65604	52209	68289	49877	NA	NA	NA	NA	NA	NA
"Q9CRB6"	694670	497060	565300	110840	265890	225260	267780	237710	149440	272310	337050	111090
"A0A087WQE8"	2543780	1689650	2225033.33333333	1140290	1617276.66666667	1432496.66666667	839536.666666667	926483.333333333	562476.666666667	1054630	689753.333333333	673770
"Q5SX53"	3970533.33333333	2855533.33333333	2757166.66666667	2237623.33333333	2383083.33333333	2854833.33333333	5079600	4296566.66666667	4826933.33333333	3031533.33333333	2633833.33333333	4686300
"B7ZC46"	2223006.66666667	1190083.33333333	1471130	1141833.33333333	1451503.33333333	1273060	3676900	4064700	3491000	3361753.33333333	2036216.66666667	4464733.33333333
"A0A3B2W3V4"	NA	NA	NA	NA	NA	NA	82790	101680	72595	72419	61014	53861
"B2RUK5"	1107350	919153.333333333	771023.333333333	575576.666666667	1056906.66666667	729046.666666667	837763.333333333	914880	922380	594466.666666667	496443.333333333	840080
"F8WHJ1"	49830	64165	52696	65153	86606	39126	61437	59520	38737	61247	45077	64924
"Q9JKK7"	291750	204418.5	233805	171090.5	281440	156320	407493.333333333	429906.666666667	282080	274133.333333333	241180	344020
"A0A0A6YX73"	4756433.33333333	3407366.66666667	3182733.33333333	2314186.66666667	3346656.66666667	3143700	3453000	3598233.33333333	3198066.66666667	2675466.66666667	2199000	3460866.66666667
"P31324"	2590700	1212006.66666667	2496840	2326966.66666667	3379066.66666667	3823200	2731733.33333333	2213433.33333333	2388066.66666667	1543980	1859533.33333333	2177500
"Q9DCC4"	1948950	1533095	1726550	625295	1374825	924925	679878	586599.666666667	754364.333333333	379482.666666667	391814.666666667	635494.666666667
"Q9JHU4"	7988500	7249733.33333333	8265633.33333333	4848700	7359300	5542733.33333333	5540033.33333333	5889666.66666667	5649233.33333333	4409766.66666667	2908066.66666667	6351733.33333333
"Q569Y6"	1877243.33333333	1155796.66666667	1447310	907383.333333333	1008193.33333333	1140133.33333333	4115143.33333333	2581446.66666667	3559430	2994246.66666667	2262486.66666667	4126133.33333333
"Q3ZB20"	NA	NA	NA	NA	NA	NA	161992	116925.5	177743.5	155215	87258.5	272046.5
"Q9D823"	1359600	1532700	972310	819270	1898300	1030000	758290	731330	593770	585790	469800	829180
"D3YXH0"	708040	835670	1151600	1024400	2105300	1407700	1875837	1212046	2072762.5	735926.5	770320.5	719363.45
"Q8BTX9"	585870	365370	279210	206860	308860	339230	NA	NA	NA	NA	NA	NA
"P63038"	10817366.6666667	8127200	8205200	5423800	8218066.66666667	7407400	16962700	19899133.3333333	17993000	13359566.6666667	11580833.3333333	17702866.6666667
"Q3TFE8"	669216.666666667	547816.666666667	496406.666666667	330156.666666667	400640	377813.333333333	945836.666666667	978586.666666667	886593.333333333	799760	590573.333333333	845366.666666667
"Q3TXS7"	383436.666666667	323616.666666667	236293.333333333	159063.333333333	287843.333333333	210193.333333333	560300	486023.333333333	497046.666666667	452100	341773.333333333	555710
"Z4YL55"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"A0A0G2JGX4"	72549666.6666667	51229666.6666667	66121666.6666667	32360000	54405666.6666667	41313333.3333333	70250666.6666667	66750000	72218000	50243666.6666667	42684666.6666667	73033333.3333333
"Q8C5E7"	425031	317238	357966	181215	291065	268464.5	978120	889260	1028400	707250	523340	1040100
"E9QLB2"	219313.5	152849	160709.5	113381	126503.5	292270	258630	230540	295760	156050	106810	286920
"Q5FW97"	25595666.6666667	24183000	24847666.6666667	14256466.6666667	20118533.3333333	19346366.6666667	12306333.3333333	13143666.6666667	7368933.33333333	14596333.3333333	16446666.6666667	7308466.66666667
"Q8K354"	212730	95243	176920	231370	328530	232480	900326.666666667	858390	849520	502326.666666667	529630	648933.333333333
"A8DUK7"	52656000	80805333.3333333	54181333.3333333	27322333.3333333	38545000	30414000	36348666.6666667	44411333.3333333	24473333.3333333	83915000	111694000	17561000
"Q32P16"	1312700	1403900	1182200	1023900	1686000	1053100	996851.5	1260956	958753.5	828218	568652.55	1181856
"P84309"	1666533.33333333	321813.333333333	1973800	2407866.66666667	2925533.33333333	2471166.66666667	1768690	1785666.66666667	1676426.66666667	809533.333333333	1232510	1231936.66666667
"Q505D7"	NA	NA	NA	NA	NA	NA	2378650	2719850	2241950	1825345	1108295	2301950
"G5E8R3"	6900533.33333333	5514400	6463500	3842633.33333333	5581500	5590466.66666667	5995700	6628500	6549000	4656300	3616333.33333333	7008300
"D3YUM1"	3255633.33333333	2811300	2822533.33333333	2235200	3769833.33333333	2580766.66666667	3182966.66666667	3789966.66666667	3823833.33333333	2596200	2010066.66666667	4304033.33333333
"Q8C027"	214524.5	203121.5	162508.5	94079.05	155178	115760.35	30588	29552	19560.4	24443	15667	36657
"Q9CQI6"	3451916.66666667	2971176.66666667	1984406.66666667	1074790	1702126.66666667	1593890	6311000	5019633.33333333	5469466.66666667	4254100	3742033.33333333	5267700
"D3Z555"	43256	32080	44358.5	33404.5	63039	42242	22505	36533	15666	17079	17407	18999
"P12815"	1430670	1131123.33333333	1189010	863630	1124683.33333333	1050166.66666667	1383830	1353223.33333333	1350306.66666667	964490	854556.666666667	1152006.66666667
"Q3TQ70"	4872133.33333333	3894400	3573166.66666667	2218996.66666667	3794766.66666667	3061366.66666667	8272733.33333333	7319300	8339033.33333333	6024600	5327733.33333333	9182233.33333333
