"id"	"Reporter.intensity.corrected.1.TMT1"	"Reporter.intensity.corrected.2.TMT1"	"Reporter.intensity.corrected.3.TMT1"	"Reporter.intensity.corrected.4.TMT1"	"Reporter.intensity.corrected.5.TMT1"	"Reporter.intensity.corrected.6.TMT1"	"Reporter.intensity.corrected.1.TMT2"	"Reporter.intensity.corrected.2.TMT2"	"Reporter.intensity.corrected.3.TMT2"	"Reporter.intensity.corrected.4.TMT2"	"Reporter.intensity.corrected.5.TMT2"	"Reporter.intensity.corrected.6.TMT2"
"A0A1L1SS61"	419335.35	362234.3	626600	291280	340770	338470	660780	727920	755750	512020	307040	687710
"E9QKA4"	478160	740130	412770	300150	661780	376620	46051	71696.5	31705.8	33425	19546.6	49345.5
"A2APF7"	NA	NA	NA	NA	NA	NA	NA	NA	3265.6	NA	NA	NA
"E0CX43"	NA	NA	NA	NA	NA	NA	NA	7101.8	NA	NA	NA	NA
"Q80V26"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"A0A286YDR2"	3649900	2706600	2157400	1926200	3444700	3362600	NA	NA	NA	NA	NA	NA
"Q3UTN0"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"A0A087WNY2"	7260.8	NA	NA	NA	4515.8	NA	24411	NA	NA	NA	NA	NA
"Q8BR43"	193330	145850	169440	148930	296800	182880	299710	256220	191940	216260	157370	248050
"Q8K4W8"	NA	NA	NA	NA	NA	NA	1889.8	2758.3	2793.3	NA	NA	NA
"Q8CI23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"I7HJS1"	NA	NA	NA	NA	NA	NA	77587	78581	52647	55695	46924	52600
"Q5SUG2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"B1AUB6"	NA	NA	3539.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
"A0A087WQG1"	NA	NA	NA	NA	NA	NA	6678	NA	6129.9	6757.1	1316.8	6278.2
"A0A1L1ST73"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q5SWJ8"	8041	2740.3	4323.7	NA	4534.1	3652.8	NA	NA	1868.7	NA	NA	NA
"Q8BI48"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q3V2G6"	NA	NA	NA	NA	NA	NA	20513	14980	12438	10346	3934.6	23474
"Q9JJ28"	NA	NA	NA	NA	NA	NA	NA	5025.1	6263	1506	NA	NA
"G3UYM0"	210520	305640	268130	121850	215070	249800	458750	375270	423120	184410	250100	424930
"Q921W2"	25637	19876	15753	6061.8	22971	15743	NA	NA	NA	NA	NA	NA
"A0A0J9YUH6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"A0A0U1RQ74"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q80W37"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"A0A0G2JDX7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q9CZX9"	NA	NA	NA	NA	NA	NA	495880	558790	518260	353173	260035.5	503005
"Q9D6M5"	248675	143470	276095	122736	171355	159142.5	334740	246545	348916	267032	192912	454745
"Q3URF1"	313537	436790	195019.333333333	497743.333333333	964006.666666667	396450	NA	NA	NA	NA	NA	7592.1
