"id"	"Reporter.intensity.corrected.1.TMT3"	"Reporter.intensity.corrected.2.TMT3"	"Reporter.intensity.corrected.3.TMT3"	"Reporter.intensity.corrected.4.TMT3"	"Reporter.intensity.corrected.5.TMT3"	"Reporter.intensity.corrected.6.TMT3"	"Reporter.intensity.corrected.7.TMT3"	"Reporter.intensity.corrected.8.TMT3"	"Reporter.intensity.corrected.9.TMT3"	"Reporter.intensity.corrected.10.TMT3"	"Reporter.intensity.corrected.1.TMT4"	"Reporter.intensity.corrected.2.TMT4"	"Reporter.intensity.corrected.3.TMT4"	"Reporter.intensity.corrected.4.TMT4"	"Reporter.intensity.corrected.5.TMT4"	"Reporter.intensity.corrected.6.TMT4"	"Reporter.intensity.corrected.7.TMT4"	"Reporter.intensity.corrected.8.TMT4"	"Reporter.intensity.corrected.9.TMT4"	"Reporter.intensity.corrected.10.TMT4"
"Q8NCA5"	463223.333333333	386613.333333333	406366.666666667	412666.666666667	378843.333333333	397456.666666667	277983.333333333	246816.666666667	255860	261743.333333333	446733.333333333	456066.666666667	439690	404586.666666667	350130	390916.666666667	299576.666666667	249056.666666667	300196.666666667	294523.333333333
"B3KPJ4"	113001.333333333	85695.6666666667	91634	223072.666666667	194249.666666667	208219.666666667	115182.333333333	104219.666666667	115055	155048.666666667	141069.666666667	143459.666666667	151277	66557.6666666667	59399.6666666667	66803	93800.3333333333	68645.6666666667	76397.3333333333	104985.666666667
"O94830"	8594.1	6181.7	4230.6	4311.57	4755.825	5410.15	2980.85	3911.25	3307.55	5642.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q15459"	1618800	1337333.33333333	1381533.33333333	1061566.66666667	983953.333333333	947190	878603.333333333	766080	895400	860050	1125030	1168910	978150	1214470	1096516.66666667	1225060	928476.666666667	723996.666666667	817486.666666667	945566.666666667
"Q3B7T1"	18626	16611.5	16858	9332.05	4600.15	7594.85	9084.85	7704.65	7218.7	9460.1	14853.4333333333	16115.0666666667	12250	26588.0666666667	29932.7333333333	31698.7333333333	16082.7333333333	14135.2	16315.1666666667	14545.1333333333
"Q9NWV4"	338326.666666667	286090	287303.333333333	248846.666666667	196743.333333333	211503.333333333	92638.6666666667	83452.6666666667	99829	181016.666666667	329850	343153.333333333	334250	395406.666666667	367930	394180	140303	121007.333333333	132207.666666667	255656.666666667
"Q9NXV6"	110813	95691.6666666667	97904.6666666667	183770	166736.666666667	175733.333333333	125953.333333333	111190	130800	133980	232133.333333333	244783.333333333	242116.666666667	104591.333333333	122545	117182	177490	148163.333333333	156270	191360
"Q9C005"	340080	316610	288755	406525	366875	397220	406160	375940	432435	308405	739600	739210	640000	535360	501470	554180	720890	586160	647460	568410
"O95757"	692473.333333333	541640	580453.333333333	589090	472370	541606.666666667	388560	346026.666666667	383450	519353.333333333	524496.666666667	532626.666666667	520366.666666667	397443.333333333	398653.333333333	399403.333333333	350653.333333333	255533.333333333	298626.666666667	430330
"Q9UBU9"	296993.333333333	261880	258296.666666667	222990	187566.666666667	201343.333333333	160013.333333333	153086.666666667	162240	180153.333333333	400720	379390	300453.333333333	396553.333333333	411016.666666667	433766.666666667	319280	249076.666666667	284426.666666667	327793.333333333
"Q8IX12"	590500	535370	562443.333333333	623290	547976.666666667	519923.333333333	518516.666666667	493200	564926.666666667	453846.666666667	615543.333333333	683683.333333333	522700	554513.333333333	612300	650020	641776.666666667	519493.333333333	510290	537040
"Q9Y4R8"	197113.333333333	157690	147366.666666667	145296.666666667	123521.333333333	134853.333333333	78864	70200.3333333333	85598.3333333333	98433	139160	136543.333333333	105752	113017.666666667	115761.333333333	128012.666666667	76358.3333333333	58382	73703.6666666667	91719.3333333333
"O95834"	548910	465023.333333333	445986.666666667	296116.666666667	241050	272900	989970	855950	949860	352700	341453.333333333	342430	319153.333333333	476003.333333333	475443.333333333	483996.666666667	1194766.66666667	861030	1062100	398676.666666667
"I3L072"	736870	601990	806910	170800	158430	109610	386090	425000	476170	395890	3683.9	2631	3359.9	7527.2	3669.1	7460.4	4521.7	4218.4	4775.8	6050.1
"Q6P996"	1329633.33333333	1206333.33333333	1126490	348290	319833.333333333	311190	1238366.66666667	1021033.33333333	1169933.33333333	554926.666666667	538626.666666667	556210	489036.666666667	1292453.33333333	1275143.33333333	1280603.33333333	1650233.33333333	1271700	1492900	735890
"O43865"	529733.333333333	468116.666666667	510663.333333333	352283.333333333	257986.666666667	275206.666666667	300816.666666667	263110	278093.333333333	274356.666666667	302676.666666667	304750	314170	431663.333333333	420046.666666667	424580	346513.333333333	265443.333333333	292840	281386.666666667
"F6WH68"	37361	30956	37019	21123	18603	22509	16131	20746	18188	20007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q15648"	100178	76106	84671.3333333333	96524.6666666667	71932	81843.3333333333	74924	68529	80045.6666666667	63296	129866.333333333	134377	93170.6666666667	90708	79801.6666666667	92865.6666666667	94236.3333333333	82631	94290.3333333333	92173.3333333333
"O95478"	49373	40053.6666666667	37746.3333333333	72382.6666666667	61396.0333333333	63362	64307.7333333333	72463.5333333333	70166.6666666667	56787.3333333333	121446	125283.666666667	121025	58192.6666666667	63074.3333333333	55412.3333333333	111561	92001.3333333333	103427.666666667	76914
"Q6P158"	229173.333333333	199990	201640	131377	120993.333333333	125675	127164	116436.666666667	113233.666666667	100277	263229.666666667	256285	170556.666666667	334473.333333333	341310	370266.666666667	239184.666666667	197022.333333333	229382	187033.333333333
"M0QZ12"	94459.3333333333	106584.333333333	99963	95265	66953	81281.6666666667	84252.6666666667	75906.6666666667	89980.3333333333	56409.6666666667	95201	114657.666666667	99197.6666666667	112968.333333333	98269	112546	113677.666666667	98890.3333333333	97920.6666666667	67545.6666666667
"O95140"	146132.666666667	121330.333333333	121512	202335.333333333	178155.333333333	188110	83122.3333333333	80647.3333333333	90617	134056.333333333	391466.666666667	412493.333333333	323516.666666667	211626.666666667	217423.333333333	243186.666666667	194836.666666667	173103.333333333	178926.666666667	238986.666666667
"Q8IWA4"	56166.6666666667	48840.3333333333	54182	55546.3333333333	50108.6666666667	52974.6666666667	16697.3333333333	18008	22437.3333333333	35880.3333333333	193853.333333333	198700	194319.333333333	110507	137356.666666667	128835.333333333	79964.3333333333	60123.3333333333	63362.3333333333	122516.666666667
"Q03164"	42914.6666666667	38012	37687.3333333333	22947	22724.3333333333	24337	22027	18847.3333333333	22930.6666666667	26035	20034.8	20813.3333333333	19451.1	29869	31024.3333333333	29846.6666666667	18773.1	14332.2666666667	19500.1333333333	18698.6666666667
"Q6NSJ2"	23031	18602	19278	999.57	82.48	1027.5	4113	5159.6	5189.4	3022.4	5627.3	3941.6	4427.6	56937.2	61125.1	62543.4	16171.95	14667.85	15900.15	13402.55
"Q8WVC0"	569453.333333333	489560	468003.333333333	185544.666666667	179908.333333333	178450	246893.333333333	209126	235627.333333333	211126	315703.333333333	316533.333333333	277393.333333333	607523.333333333	633400	696966.666666667	354896.666666667	297330.666666667	355296.666666667	309803.333333333
"Q99829"	1474740	1265313.33333333	1230023.33333333	1342126.66666667	1043396.66666667	1233673.33333333	37441.3333333333	46661.6666666667	36925.3333333333	1464816.66666667	949203.333333333	991040	614016.666666667	832040	874350	894713.333333333	15718	15992.3333333333	10520.3	1151713.33333333
"Q9UDT6"	21650	16916.6666666667	19236.3333333333	52372.3333333333	44555	44624.3333333333	59146.6666666667	52724	61462.3333333333	52196.3333333333	45646.6666666667	47427	46053.6666666667	16575.3333333333	15667	18332.3333333333	57992.3333333333	48606	59156.6666666667	45112.6666666667
"Q13867"	359763.333333333	341256.666666667	360093.333333333	466693.333333333	367850	404063.333333333	292386.666666667	284970	309530	355066.666666667	621683.333333333	773936.666666667	416070	411033.333333333	448580	429150	463033.333333333	355920	384783.333333333	502230
"P05783"	15982333.3333333	13384000	11992300	1097116.66666667	930590	1092216.66666667	8857266.66666667	9228466.66666667	10328433.3333333	4272900	1486400	1772866.66666667	1297933.33333333	19477000	17523666.6666667	19884000	10178333.3333333	8641133.33333333	9491466.66666667	5191900
