"id"	"Reporter.intensity.corrected.1.TMT1"	"Reporter.intensity.corrected.2.TMT1"	"Reporter.intensity.corrected.3.TMT1"	"Reporter.intensity.corrected.4.TMT1"	"Reporter.intensity.corrected.5.TMT1"	"Reporter.intensity.corrected.6.TMT1"	"Reporter.intensity.corrected.7.TMT1"	"Reporter.intensity.corrected.8.TMT1"	"Reporter.intensity.corrected.9.TMT1"	"Reporter.intensity.corrected.10.TMT1"
"3392"	5188085	4856682	10860081	3033301	3122970	8702517	3965116	9858635	4536722	4844646
"429"	33433	37278	29075	33806	24863	31172	24228	29858	32646	28185
"4457"	324941	314189	398431	691551	390088	385780	353978	312052	452219	321339
"1206"	101976	67878	74224	60623	36271	55516	63413	53131	57423	56094
"4248"	2956039	2612489	3501730	1804018	3016325	3020721	3113717	2968764	1914278	2776906
"5184"	334335	401801	285971	262465	763248	421507	834799	228031.8	297092.6	266978
"5097"	1376266	1887786	2032687	1378448	1538102	1720300	1450256	1600308	1675240	2055896
"2459"	2450580	1939530	1468700	1123710	1814720	1489420	1839240	1581990	832710	1204860
"4508"	5465937	6162330	5040738	3223127	3111084	4209333	3247827	4709716	9185451	5695041
"2410"	67595680	71467020	54685480	35551200	80214530	55123240	82204080	51895080	52765810	46295140
"1239"	40749820	38131250	52676360	14163061	43364890	58346780	42904630	38737510	24938573	30338190
"2849"	12742013	13462772	9565742	5712073	10805306	8501339	10681315	8538921	6561901	12040838
"3991"	11660750	10339260	6199090	3436693	7676640	8496150	7522830	7914060	5102130	12730110
"5625"	7984990	1345869	8635300	2883903	9268920	9240060	8471250	7893870	4530050	5671740
"1140"	85460000	98166000	63210000	40605900	59047200	66385900	59070500	69716000	49302400	79470000
"1609"	200470	285570	268240	123204	185984	199576	189702	231692	294394	172897
"1953"	2349820	1742510	2184430	1449490	2835750	2048340	2791750	1971840	1636340	1879060
"1299"	3304577	1789819	5290079	20084060	2639985	5663201	2720595	3293376	8178791	2896871
"2663"	600551.7	640353.5	810234.6	639144	999896	925098.1	928562.9	651326	19507860	718982.4
"5729"	540700	626230	712840	453540	785750	500020	731900	734570	726040	439100
"2270"	1419170	1412740	1058910	346830	1900630	742730	1883000	808310	656990	1055070
"6314"	5174615	6169339	4936080	2584130	4359990	5200333	4387666	5155394	3826764	4437987
"3210"	7675550	7328880	6469510	7377530	9882290	7140740	10394050	7172570	6044760	4161800
"1165"	50522053	15546981	111965830	57703680	48772510	59843080	54337170	97469194	34188590	87798190
"4319"	652192	831254	1119850	530107	818930	860650	839400	807800	856310	758480
"2782"	9163060	9047130	14012490	5659890	7858120	10812520	8057590	13478410	7535410	8037030
"2413"	25666965	31420332	24927730	8233980	31464773	23933485	30788475	26152213	12631790	26858058
"3809"	763129	759720	652798	473020	783639	682278	778608	527444	616521	591867
"3258"	14861560	15967680	12086280	5928990	14474760	9118760	14193230	11368870	16406620	11812610
"3051"	7480796	8874292	6288781	4000826	7720914	5771187	7964450	5066976	8464500	6701570
"5896"	2689001	3246140	2154820	1615343	2285373	2022166	2220320	2151252	4672900	2938234
"2191"	26581019	14055530	25453963	10840394	12853129	20908513	13808899	22051160	11753681	13543487
"4032"	1597541	2095473	3964630	799209	2623640	2929330	2583059	4338500	2456843	1843548
"2713"	34272050	30244800	21411780	28110960	38725200	17329360	40401430	21439310	23047050	23971320
"6628"	251327	684210	247849	431780	4883900	278017	6311500	187176.2	292174	374049
"2797"	5173412	4746275	2048228	1556958	4582546	3512599	4498827	3470881	1903329	2922338
"2957"	146900	190160	142810	85695	101340	145410	62432	77632	283410	63451
"6678"	18318900	25044510	15554370	7769075	15685720	11897580	16357870	13892840	19730410	15355070
"3598"	989334	799209	763854	956613	713760	688717	712926	690724	1861080	906672
"4005"	3544200	3032690	2026368	1327320	2782876	2115945	2702310	2137619	4018410	2428465
"6128"	2142023	1908753	2720242	1142380	1837738	2295431	1729404	2405889	1880882	1823296
"5400"	1831073	1079352	2103495	1020914	1533029	2940152	1419275	1806902	1408601	1331012
"5599"	339076	439790	306946	187833	409133	256640	427805	352247	247873	273501
"4277"	349380	690020	417550	202303	374470	403640	309120	432550	516960	494710
"389"	433817	332841	410731	326738	310143	422986	293908	348090	426440	409328
"4118"	2400717	1573567	3469930	793975	1440306	1843638	1529387	2176706	994140	2546962
"4900"	808782	886093	1060295	739739	928386	967393	975757	1032108	983446	897481
"445"	22201964	26500090	21167160	10861791	18730351	19494240	18951505	19921390	11873345	19638420
"5029"	8786410	7483560	4836510	2660479	5831650	4380350	5797940	5262890	2480130	11311650
"5168"	7648875	7030267	6989150	3490136	7519291	5597614	7800361	6548503	3790879	6300363
"6992"	763782	908589	900251	395112	778207	755326	784014	831694	563630	855627
"990"	27674834	69172986	31851111	2196430900	14418328	43283539	36645629	40395118	103702687	49293005
"7017"	204320	171030	215330	98844	127880	165620	131630	184600	201610	102620
"1184"	12609110	6196520	12925920	3905270	6758710	9585300	6686210	9879650	5392380	10399370
"3988"	7661140	1206439	3546571	1011685	1586816	1242888	1640865	1679301	918482	2394069
"163"	2119897	1530293	1478363	845309	1084869	1336653	1079280	1303253	1583821	1796977
"3553"	1245290	935133	1807850	687717	989299	1496040	899529	1419130	1135211	1301050
"5485"	8587925	14820460	9205660	5376410	7798740	7944116	7502544	8190995	6319050	9823720
